Word	Count
****************

the   22
 of   10
 christi   8
 corpus   8
 in   7
 city   5
 bay   4
 and   4
 texas   4
 is   4
 by   3
 estimated   3
 population   3
 citys   3
 name   2
 area   2
 to   2
 was   2
 boundaries   2
 counties   2
 also   2
 it   2
 nueces   2
 county   2
 region   2
 a   2
 surrounding   1
 settlement   1
 given   1
 christ   1
 body   1
